IDEmbarcacao;Nome da Embarcação;Ano da Construção da Embarcação;Codigo do Tipo de Material do Casco;Tipo de Material do Casco;Codigo do Tipo da Embarcação;Tipo de Embarcação;Codigo do País Atual;Codigo do País de Origem;Boca;Calado;Comprimento;TPB
12934;T - 239;2007;1;Aço;39;BALSA;BR;BR;15;3,2;65;2256,2
12585;LADY IRENE;1982;1;Aço;39;BALSA;BR;BR;12,6;1,69;60,9;668,73
12631;WALDECIR RODRIGUES MUSTAFA;2007;1;Aço;39;BALSA;BR;BR;16;3,46;73,5;2976,2
12448;U - 4;1977;1;Aço;39;BALSA;BR;BR;12,19;3,37;59,43;1885,72
12847;BERTOLINI CXXIX (129);2006;1;Aço;39;BALSA;BR;BR;18,5;2,2;78;1595
11009;BERTOLINI LXVII (67);2005;1;Aço;39;BALSA;BR;BR;12;2,35;62;2378
12846;BERTOLINI CXXXI (131);2006;1;Aço;39;BALSA;BR;BR;18,5;2,2;78;1595
8588;JEANY SARON VII;1992;1;Aço;39;BALSA;BR;BR;8;1,35;24,95;211,7
37914;MULICEIRO IX;2007;1;Aço;39;BALSA;BR;BR;12,86;1,68;35,9;600
32251;ROCHEDO;1983;1;Aço;39;BALSA;BR;BR;12;;54;600
40971;D. LIVRAMENTO;1988;1;Aço;39;BALSA;BR;BR;9,5;1,35;38;370
32160;MARANATA;1994;1;Aço;39;BALSA;BR;BR;12,5;2,23;60;1049,69
32140;ISABELE XVIII;2006;1;Aço;39;BALSA;BR;BR;21;2,31;74,9;2018,93
37884;KARINE COUTO;1990;1;Aço;39;BALSA;BR;BR;8,4;0,8;24;91,5
32137;ISABELE XV;1994;1;Aço;39;BALSA;BR;BR;15,5;2,3;75;1740
40631;JUTUBA;2004;1;Aço;39;BALSA;BR;BR;8;1,5;30;241,96
32139;ISABELE XVII;1989;1;Aço;39;BALSA;BR;BR;12,5;2,1;66;1202,6
32134;ISABELE XIII;1991;1;Aço;39;BALSA;BR;BR;15,5;2,3;75;1740
32138;ISABELE XVI;1993;1;Aço;39;BALSA;BR;BR;15,5;2,3;75;1740
33326;TGS I (SUCATA);1988;1;Aço;39;BALSA;BR;BR;10;1,91;43,12;743,7
33698;BERTOLINI CLV (155);2006;1;Aço;39;BALSA;BR;BR;12;;62;2409,9
33263;EDL XIX;2008;1;Aço;39;BALSA;BR;BR;16,56;3,6;65;2700
33202;CONDOR;1981;1;Aço;39;BALSA;BR;BR;12;1,46;46;500
33699;BERTOLINI CLIII (153);2007;1;Aço;39;BALSA;BR;BR;12;;62;2409,9
37377;ANGELIM 1-200-22;1958;1;Aço;39;BALSA;BR;BR;8,04;1,2;31;250,3
37407;LADY NEUZA;1982;1;Aço;39;BALSA;BR;BR;12;;54;600
37379;MARCELINO RAMOS V;1990;1;Aço;39;BALSA;BR;BR;5,5;0,3;21;1
37388;PARANAYARA I;1986;1;Aço;39;BALSA;BR;BR;14;1,08;57;380,5
33206;PLANALTO II;2007;1;Aço;39;BALSA;BR;BR;15;3,37;69;2516,19
33197;AGUANO;1990;1;Aço;39;BALSA;BR;BR;12,5;1,8;49;550
37830;MICHELLE;1999;1;Aço;39;BALSA;BR;BR;9;0,3;41;115
33192;PEDRA DO SAL;2016;1;Aço;39;BALSA;BR;BR;20,42;8,84;105,24;15330,45
32995;MC LOG ARAGUAIA III;1997;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
8250;NR I;1990;1;Aço;39;BALSA;BR;BR;11;;48;810
8222;DIALCAR IV;1998;1;Aço;39;BALSA;BR;BR;14,6;1,3;27;350
8245;NR II;1990;1;Aço;39;BALSA;BR;BR;11;;48;810
8137;ENTERPA F4;2001;1;Aço;39;BALSA;BR;BR;7,5;0,5;12;
8194;SUPERPESA X;1963;1;Aço;39;BALSA;BR;BR;29,3;5,87;109,99;13064
8246;NR IV;1990;1;Aço;39;BALSA;BR;BR;11;;48;810
8499;FL 125;1972;1;Aço;39;BALSA;BR;BR;15;1,6;23,5;306
8465;TS 2;2001;1;Aço;39;BALSA;BR;BR;16,38;2,2;35;1046,8
8497;EQUIP 130;1972;1;Aço;39;BALSA;BR;BR;16;1,76;28,43;764,7
8236;EVERESTE;1996;1;Aço;39;BALSA;BR;BR;7;1,6;24;174
8195;SUPERPESA XII;2002;1;Aço;39;BALSA;BR;BR;12;1,8;36;545
8116;DEUSA DO MAR;1989;1;Aço;39;BALSA;BR;BR;12,5;1,2;46,08;396,24
8169;GRAO PARA;1986;1;Aço;39;BALSA;BR;BR;14,8;2;48,77;946,52
37806;TRANSANDRESSA IX;1995;1;Aço;39;BALSA;BR;BR;10,5;0,95;50;249
32996;MC LOG ARAGUAIA IV;1997;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
33468;AMAZONGÁS X;2008;1;Aço;39;BALSA;BR;BR;18;2,5;77;2500
37654;BERTOLINI CLXXI (171);2008;1;Aço;39;BALSA;BR;BR;;;62;2409,9
37647;GIOVANNA VIII;2009;1;Aço;39;BALSA;BR;BR;24;2,3;75;2000
40936;SW ROTTERDAM;2007;1;Aço;39;BALSA;BR;BR;20,48;2,57;78;2357,85
32997;MC LOG ARAGUAIA V;1997;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
40948;MS VII;2011;1;Aço;39;BALSA;BR;BR;18;2,43;76;2361
37833;LOURA;2007;1;Aço;39;BALSA;BR;BR;10;1,6;39,15;428,8
32994;MC LOG ARAGUAIA II;1997;1;Aço;39;BALSA;BR;BR;11;1,7;45;634,3
37648;EDL XIV;1995;1;Aço;39;BALSA;BR;BR;15,5;2,34;72;1700
32992;MC LOG ARAGUAIA I;1997;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
31058;CASCAO X;2006;1;Aço;39;BALSA;BR;BR;6,6;1,61;21,12;66,77
41117;CAMORIM VI;2004;1;Aço;39;BALSA;BR;BR;20,4;1,3;30,3;641,53
41119;CAMORIM VIII;2007;1;Aço;39;BALSA;BR;BR;10;2,1;24;200
38455;GIOVANNA VII;2008;1;Aço;39;BALSA;BR;BR;;;75;2000
41118;CAMORIM VII;2007;1;Aço;39;BALSA;BR;BR;15,2;1,5;30,3;428,76
41125;CAMORIM XV;2007;1;Aço;39;BALSA;BR;BR;6;0,95;15;40,7
40508;POROROCA;1998;1;Aço;39;BALSA;BR;BR;12,6;2,09;54;946,34
38452;ISABELE XXIV;2008;1;Aço;39;BALSA;BR;BR;;2,39;75;2000
38454;ISABELE XXV;2009;1;Aço;39;BALSA;BR;BR;;;75;2000
32066;BENEDITO COSTA;1999;1;Aço;39;BALSA;BR;BR;10;2,1;55;927,8
38487;ADL II;2005;1;Aço;39;BALSA;BR;BR;16;2,34;69,95;1902,65
38451;ESTADO DO PARÁ;1996;1;Aço;39;BALSA;BR;BR;18,5;1,9;69;1692
40611;T XIII;2010;1;Aço;39;BALSA;BR;BR;2,4;0,33;9;0,5
38000;JUSSARA PRATES;1998;1;Aço;39;BALSA;BR;BR;15;2,46;72;1804,15
32129;ISABELE VIII;1990;1;Aço;39;BALSA;BR;BR;12,5;2,09;66;1202,6
32126;ISABELE VII;1996;1;Aço;39;BALSA;BR;BR;12,5;2,2;72;1443,9
32122;JEANY SARON XL;1989;1;Aço;39;BALSA;BR;BR;15,55;2,1;66;1202,6
32123;JEANY SARON XLI;1989;1;Aço;39;BALSA;BR;BR;12,5;2,1;66;1202,6
31943;PRIMAVERA I;1987;1;Aço;39;BALSA;BR;BR;12,5;;59;1
32089;JEANY SARON XXXVIII;1990;1;Aço;39;BALSA;BR;BR;12,5;2,1;66;1202,6
41102;NABILLA III;2001;1;Aço;39;BALSA;BR;BR;7,5;1,1;23,88;101,9
32115;YASMIN MARIANA;1977;1;Aço;39;BALSA;BR;BR;;;59,4;0,01
31944;PRIMAVERA III;1987;1;Aço;39;BALSA;BR;BR;12,5;;59;1
30967;E - 156;2008;1;Aço;39;BALSA;BR;BR;15;1,93;62;1284,9
31830;PRINCESA SABRINA E PRISCILA;2003;1;Aço;39;BALSA;BR;BR;10,5;1,5;25;101,2
38198;L. Q. TOCAIA;1994;1;Aço;39;BALSA;BR;BR;12,5;1,72;44,8;681,64
33001;MC LOG ARAGUAIA IX;1997;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
33000;MC LOG ARAGUAIA VIII;1997;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
40935;SW BARCELONA;2007;1;Aço;39;BALSA;BR;BR;20,48;2,57;78;2357,85
32999;MC LOG ARAGUAIA VII;1997;1;Aço;39;BALSA;BR;BR;11;1,9;45;628
33002;MC LOG ARAGUAIA X;1997;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
33006;MC LOG ARAGUAIA XIII;1997;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
33007;MC LOG ARAGUAIA XIV;1997;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
40933;SW OSAKA;2007;1;Aço;39;BALSA;BR;BR;20,48;2,57;78;2327,68
33008;MC LOG ARAGUAIA XV;1996;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
33009;MC LOG ARAGUAIA XVI;1996;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
33005;MC LOG ARAGUAIA XII;1997;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
37408;ALDENICE;1984;1;Aço;39;BALSA;BR;BR;12,5;;48;799
33004;MC LOG ARAGUAIA XI;1997;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
30827;MIMOSA;1980;1;Aço;39;BALSA;BR;BR;10;1,6;40;450
30826;MIMOSA III;1985;1;Aço;39;BALSA;BR;BR;10,5;1,79;41,5;552,1
33673;TWB 181;2006;1;Aço;39;BALSA;BR;BR;7;2,2;29,8;284
38211;REBECCA GISLAINE;2007;1;Aço;39;BALSA;BR;BR;12,8;3;56;1530,8
38199;DONA ELVIRA;1985;1;Aço;39;BALSA;BR;BR;10;;46;600
37524;BERTOLINI CLXIII (163);2008;1;Aço;39;BALSA;BR;BR;18,5;2,37;80;1723,36
33114;LB I;1997;1;Aço;39;BALSA;BR;BR;18,5;2,2;73,5;1935
40934;SW SINGAPUR;2007;1;Aço;39;BALSA;BR;BR;20,48;2,57;78;2327,68
33101;E - 158;2008;1;Aço;39;BALSA;BR;BR;15;1,93;62;1284
40859;ISABELE XXVI;2008;1;Aço;39;BALSA;BR;BR;;;;3484
8498;LOCAR III;2002;1;Aço;39;BALSA;BR;BR;24,4;2,2;64;2082
32998;MC LOG ARAGUAIA VI;1997;1;Aço;39;BALSA;BR;BR;11;1,8;45;628
7488;GABRIELA;1986;1;Aço;39;BALSA;BR;BR;13;2,29;56;579
1012;ESTAMAN 494;1988;1;Aço;39;BALSA;BR;BR;15,5;1,6;69;1425
1017;NAVETRANS 3;1976;1;Aço;39;BALSA;BR;BR;10;1,53;40;440,32
1014;MURICITUBA;1986;1;Aço;39;BALSA;BR;BR;15,5;1,61;65,13;973
